wk,n
1/1/2020,6
8/1/2020,24
15/1/2020,29
22/1/2020,16
29/1/2020,3
5/2/2020,7
12/2/2020,1
19/2/2020,2
26/2/2020,5
4/3/2020,1
11/3/2020,1
18/3/2020,14
25/3/2020,15
1/4/2020,27
8/4/2020,3
15/4/2020,34
22/4/2020,29
29/4/2020,6
6/5/2020,6
13/5/2020,15
20/5/2020,8
27/5/2020,1
3/6/2020,21
10/6/2020,30
17/6/2020,20
24/6/2020,25
1/7/2020,25
8/7/2020,20
15/7/2020,30
22/7/2020,23
29/7/2020,4
5/8/2020,3
12/8/2020,44
19/8/2020,54
26/8/2020,41
2/9/2020,31
9/9/2020,21
16/9/2020,18
23/9/2020,6
30/9/2020,2
7/10/2020,6
21/10/2020,1
28/10/2020,7
4/11/2020,15
11/11/2020,2
18/11/2020,6
2/12/2020,13
9/12/2020,19
16/12/2020,5
23/12/2020,17
30/12/2020,2
