MSZoning,LotFrontage,LotArea,Street,Alley,Utilities,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtExposure,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,ScreenPorch,PoolQC,Fence,MiscFeature,SalePrice
RL,65.0,8450,Pave,,AllPub,7,5,196.0,Gd,TA,Gd,No,856,Ex,Y,856,854,1710,1,2,3,1,Gd,8,0,,2,548,TA,0,61,0,,,,208500
RL,80.0,9600,Pave,,AllPub,6,8,0.0,TA,TA,Gd,Gd,1262,Ex,Y,1262,0,1262,0,2,3,1,TA,6,1,TA,2,460,TA,298,0,0,,,,181500
RL,68.0,11250,Pave,,AllPub,7,5,162.0,Gd,TA,Gd,Mn,920,Ex,Y,920,866,1786,1,2,3,1,Gd,6,1,TA,2,608,TA,0,42,0,,,,223500
RL,60.0,9550,Pave,,AllPub,7,5,0.0,TA,TA,TA,No,756,Gd,Y,961,756,1717,1,1,3,1,Gd,7,1,Gd,3,642,TA,0,35,0,,,,140000
RL,84.0,14260,Pave,,AllPub,8,5,350.0,Gd,TA,Gd,Av,1145,Ex,Y,1145,1053,2198,1,2,4,1,Gd,9,1,TA,3,836,TA,192,84,0,,,,250000
RL,85.0,14115,Pave,,AllPub,5,5,0.0,TA,TA,Gd,No,796,Ex,Y,796,566,1362,1,1,1,1,TA,5,0,,2,480,TA,40,30,0,,MnPrv,Shed,143000
RL,75.0,10084,Pave,,AllPub,8,5,186.0,Gd,TA,Ex,Av,1686,Ex,Y,1694,0,1694,1,2,3,1,Gd,7,1,Gd,2,636,TA,255,57,0,,,,307000
RL,,10382,Pave,,AllPub,7,6,240.0,TA,TA,Gd,Mn,1107,Ex,Y,1107,983,2090,1,2,3,1,TA,7,2,TA,2,484,TA,235,204,0,,,Shed,200000
RM,51.0,6120,Pave,,AllPub,7,5,0.0,TA,TA,TA,No,952,Gd,Y,1022,752,1774,0,2,2,2,TA,8,2,TA,2,468,Fa,90,0,0,,,,129900
RL,50.0,7420,Pave,,AllPub,5,6,0.0,TA,TA,TA,No,991,Ex,Y,1077,0,1077,1,1,2,2,TA,5,2,TA,1,205,Gd,0,4,0,,,,118000
RL,70.0,11200,Pave,,AllPub,5,5,0.0,TA,TA,TA,No,1040,Ex,Y,1040,0,1040,1,1,3,1,TA,5,0,,1,384,TA,0,0,0,,,,129500
RL,85.0,11924,Pave,,AllPub,9,5,286.0,Ex,TA,Ex,No,1175,Ex,Y,1182,1142,2324,1,3,4,1,Ex,11,2,Gd,3,736,TA,147,21,0,,,,345000
RL,,12968,Pave,,AllPub,5,6,0.0,TA,TA,TA,No,912,TA,Y,912,0,912,1,1,2,1,TA,4,0,,1,352,TA,140,0,176,,,,144000
RL,91.0,10652,Pave,,AllPub,7,5,306.0,Gd,TA,Gd,Av,1494,Ex,Y,1494,0,1494,0,2,3,1,Gd,7,1,Gd,3,840,TA,160,33,0,,,,279500
RL,,10920,Pave,,AllPub,6,5,212.0,TA,TA,TA,No,1253,TA,Y,1253,0,1253,1,1,2,1,TA,5,1,Fa,1,352,TA,0,213,0,,GdWo,,157000
RM,51.0,6120,Pave,,AllPub,7,8,0.0,TA,TA,TA,No,832,Ex,Y,854,0,854,0,1,2,1,TA,5,0,,2,576,TA,48,112,0,,GdPrv,,132000
RL,,11241,Pave,,AllPub,6,7,180.0,TA,TA,TA,No,1004,Ex,Y,1004,0,1004,1,1,2,1,TA,5,1,TA,2,480,TA,0,0,0,,,Shed,149000
RL,72.0,10791,Pave,,AllPub,4,5,0.0,TA,TA,,,0,TA,Y,1296,0,1296,0,2,2,2,TA,6,0,,2,516,TA,0,0,0,,,Shed,90000
RL,66.0,13695,Pave,,AllPub,5,5,0.0,TA,TA,TA,No,1114,Ex,Y,1114,0,1114,1,1,3,1,Gd,6,0,,2,576,TA,0,102,0,,,,159000
RL,70.0,7560,Pave,,AllPub,5,6,0.0,TA,TA,TA,No,1029,TA,Y,1339,0,1339,0,1,3,1,TA,6,0,,1,294,TA,0,0,0,,MnPrv,,139000
RL,101.0,14215,Pave,,AllPub,8,5,380.0,Gd,TA,Ex,Av,1158,Ex,Y,1158,1218,2376,0,3,4,1,Gd,9,1,Gd,3,853,TA,240,154,0,,,,325300
RM,57.0,7449,Pave,Grvl,AllPub,7,7,0.0,TA,TA,TA,No,637,Ex,Y,1108,0,1108,0,1,3,1,Gd,6,1,Gd,1,280,TA,0,0,0,,GdPrv,,139400
RL,75.0,9742,Pave,,AllPub,8,5,281.0,Gd,TA,Gd,No,1777,Ex,Y,1795,0,1795,0,2,3,1,Gd,7,1,Gd,2,534,TA,171,159,0,,,,230000
RM,44.0,4224,Pave,,AllPub,5,7,0.0,TA,TA,Gd,No,1040,TA,Y,1060,0,1060,1,1,3,1,TA,6,1,TA,2,572,TA,100,110,0,,,,129900
RL,,8246,Pave,,AllPub,5,8,0.0,TA,Gd,TA,Mn,1060,Ex,Y,1060,0,1060,1,1,3,1,Gd,6,1,TA,1,270,TA,406,90,0,,MnPrv,,154000
RL,110.0,14230,Pave,,AllPub,8,5,640.0,Gd,TA,Gd,No,1566,Ex,Y,1600,0,1600,0,2,3,1,Gd,7,1,Gd,3,890,TA,0,56,0,,,,256300
RL,60.0,7200,Pave,,AllPub,5,7,0.0,TA,TA,TA,Mn,900,TA,Y,900,0,900,0,1,3,1,Gd,5,0,,2,576,TA,222,32,0,,,,134800
RL,98.0,11478,Pave,,AllPub,8,5,200.0,Gd,TA,Ex,No,1704,Ex,Y,1704,0,1704,1,2,3,1,Gd,7,1,Gd,3,772,TA,0,50,0,,,,306000
RL,47.0,16321,Pave,,AllPub,5,6,0.0,TA,TA,TA,Gd,1484,TA,Y,1600,0,1600,1,1,2,1,TA,6,2,Gd,1,319,TA,288,258,0,,,,207500
RM,60.0,6324,Pave,,AllPub,4,6,0.0,TA,TA,TA,No,520,Fa,N,520,0,520,0,1,1,1,Fa,4,0,,1,240,Fa,49,0,0,,,,68500
C (all),50.0,8500,Pave,Pave,AllPub,4,4,0.0,TA,Fa,TA,No,649,TA,N,649,668,1317,0,1,3,1,TA,6,0,,1,250,TA,0,54,0,,MnPrv,,40000
RL,,8544,Pave,,AllPub,5,6,0.0,TA,TA,TA,No,1228,Gd,Y,1228,0,1228,0,1,3,1,Gd,6,0,,1,271,TA,0,65,0,,MnPrv,,149350
RL,85.0,11049,Pave,,AllPub,8,5,0.0,Gd,TA,Ex,Av,1234,Ex,Y,1234,0,1234,0,2,3,1,Gd,7,0,,2,484,TA,0,30,0,,,,179900
RL,70.0,10552,Pave,,AllPub,5,5,0.0,TA,TA,TA,No,1398,Gd,Y,1700,0,1700,0,1,4,1,Gd,6,1,Gd,2,447,TA,0,38,0,,,,165500
RL,60.0,7313,Pave,,AllPub,9,5,246.0,Ex,TA,Ex,No,1561,Ex,Y,1561,0,1561,1,2,2,1,Ex,6,1,Gd,2,556,TA,203,47,0,,,,277500
RL,108.0,13418,Pave,,AllPub,8,5,132.0,Gd,TA,Ex,Av,1117,Ex,Y,1132,1320,2452,0,3,4,1,Gd,9,1,Gd,3,691,TA,113,32,0,,,,309000
RL,112.0,10859,Pave,,AllPub,5,5,0.0,TA,TA,Gd,No,1097,Ex,Y,1097,0,1097,0,1,3,1,TA,6,0,,2,672,TA,392,64,0,,,,145000
RL,74.0,8532,Pave,,AllPub,5,6,650.0,TA,TA,TA,No,1297,Gd,Y,1297,0,1297,0,1,3,1,TA,5,1,TA,2,498,TA,0,0,0,,,,153000
RL,68.0,7922,Pave,,AllPub,5,7,0.0,TA,Gd,TA,No,1057,TA,Y,1057,0,1057,1,1,3,1,Gd,5,0,,1,246,TA,0,52,0,,,,109000
RL,65.0,6040,Pave,,AllPub,4,5,0.0,TA,TA,,,0,TA,N,1152,0,1152,0,2,2,2,Fa,6,0,,0,0,,0,0,0,,,,82000
RL,84.0,8658,Pave,,AllPub,6,5,101.0,TA,TA,TA,No,1088,Ex,Y,1324,0,1324,0,2,3,1,TA,6,1,TA,2,440,TA,0,138,0,,GdWo,,160000
RL,115.0,16905,Pave,,AllPub,5,6,0.0,TA,Gd,TA,Gd,1350,Gd,Y,1328,0,1328,0,1,2,1,TA,5,2,Gd,1,308,TA,0,104,0,,,,170000
RL,,9180,Pave,,AllPub,5,7,0.0,TA,TA,Gd,Av,840,Gd,Y,884,0,884,1,1,2,1,Gd,5,0,,2,504,TA,240,0,0,,MnPrv,,144000
RL,,9200,Pave,,AllPub,5,6,0.0,TA,TA,Gd,Av,938,TA,Y,938,0,938,1,1,3,1,TA,5,0,,1,308,TA,145,0,0,,MnPrv,,130250
RL,70.0,7945,Pave,,AllPub,5,6,0.0,TA,TA,TA,No,1150,Ex,Y,1150,0,1150,1,1,3,1,TA,6,0,,1,300,TA,0,0,0,,,,141000
